pr_number,run_id,provider,model,wall_clock_seconds,input_tokens,output_tokens,cost_usd,goose_exit_code,jaccard,cost_per_jaccard,effective_cost
6547,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3570,81,0.011925,,0.7143,0.016695,0.016695
6547,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3570,81,0.011925,,0.7143,0.016695,0.016695
6547,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3570,81,0.011925,,0.7143,0.016695,0.016695
6594,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3451,37,0.010908,,0.3333,0.032727,0.032727
6594,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3451,37,0.010908,,0.3333,0.032727,0.032727
6594,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3451,37,0.010908,,0.3333,0.032727,0.032727
6595,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,4223,63,0.013614,,0.5,0.027228,0.027228
6595,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,4223,63,0.013614,,0.5,0.027228,0.027228
6595,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,4223,63,0.013614,,0.5,0.027228,0.027228
6611,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3352,57,0.010911,,0.8333,0.013094,0.013094
6611,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3352,57,0.010911,,0.8333,0.013094,0.013094
6611,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3352,57,0.010911,,0.8333,0.013094,0.013094
6614,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3712,65,0.012111,,0.4,0.030277,0.030277
6614,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3712,65,0.012111,,0.4,0.030277,0.030277
6614,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3712,65,0.012111,,0.4,0.030277,0.030277
6644,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4121,65,0.013338,,0.6,0.02223,0.02223
6644,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4121,65,0.013338,,0.6,0.02223,0.02223
6644,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4121,65,0.013338,,0.6,0.02223,0.02223
6699,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3416,99,0.011733,,0.2,0.058665,0.058665
6699,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3416,99,0.011733,,0.2,0.058665,0.058665
6699,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3416,99,0.011733,,0.2,0.058665,0.058665
6700,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3438,75,0.011439,,0.375,0.030504,0.030504
6700,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3438,75,0.011439,,0.375,0.030504,0.030504
6700,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3438,75,0.011439,,0.375,0.030504,0.030504
6708,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3417,60,0.011151,,0.5,0.022302,0.022302
6708,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3417,60,0.011151,,0.5,0.022302,0.022302
6708,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3417,60,0.011151,,0.5,0.022302,0.022302
6710,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3483,60,0.011349,,0.8333,0.013619,0.013619
6710,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3483,60,0.011349,,0.8333,0.013619,0.013619
6710,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3483,60,0.011349,,0.8333,0.013619,0.013619
6752,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3707,58,0.011991,,0.1667,0.071932,0.071932
6752,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3707,58,0.011991,,0.1667,0.071932,0.071932
6752,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,6,3707,303,0.015666,,0.1667,0.093977,0.093977
6762,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3428,101,0.011799,,0.4545,0.02596,0.02596
6762,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3428,101,0.011799,,0.4545,0.02596,0.02596
6762,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3428,101,0.011799,,0.4545,0.02596,0.02596
6777,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3353,84,0.011319,,0.5,0.022638,0.022638
6777,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3353,84,0.011319,,0.5,0.022638,0.022638
6777,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3353,84,0.011319,,0.5,0.022638,0.022638
6846,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3434,37,0.010857,,0.25,0.043428,0.043428
6846,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3434,37,0.010857,,0.25,0.043428,0.043428
6846,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3434,37,0.010857,,0.25,0.043428,0.043428
6932,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3472,36,0.010956,,1.0,0.010956,0.010956
6932,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3472,36,0.010956,,1.0,0.010956,0.010956
6932,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3472,36,0.010956,,1.0,0.010956,0.010956
6951,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3810,35,0.011955,,1.0,0.011955,0.011955
6951,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3810,35,0.011955,,1.0,0.011955,0.011955
6951,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3810,35,0.011955,,1.0,0.011955,0.011955
6955,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3663,71,0.012054,,0.75,0.016072,0.016072
6955,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3663,71,0.012054,,0.75,0.016072,0.016072
6955,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3663,71,0.012054,,0.75,0.016072,0.016072
6961,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3650,178,0.01362,,0.5625,0.024213,0.024213
6961,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3650,165,0.013425,,0.6,0.022375,0.022375
6961,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3650,165,0.013425,,0.6,0.022375,0.022375
6970,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3456,46,0.011058,,0.6667,0.016586,0.016586
6970,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3456,46,0.011058,,0.6667,0.016586,0.016586
6970,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3456,46,0.011058,,0.6667,0.016586,0.016586
7029,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3768,37,0.011859,,0.3333,0.035581,0.035581
7029,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3768,37,0.011859,,0.3333,0.035581,0.035581
7029,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3768,37,0.011859,,0.3333,0.035581,0.035581
7050,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3397,27,0.010596,,0.3333,0.031791,0.031791
7050,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3397,27,0.010596,,0.3333,0.031791,0.031791
7050,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3397,27,0.010596,,0.3333,0.031791,0.031791
7077,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3396,35,0.010713,,1.0,0.010713,0.010713
7077,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3396,35,0.010713,,1.0,0.010713,0.010713
7077,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3396,35,0.010713,,1.0,0.010713,0.010713
7080,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4761,86,0.015573,,0.5,0.031146,0.031146
7080,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4761,86,0.015573,,0.5,0.031146,0.031146
7080,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4761,86,0.015573,,0.5,0.031146,0.031146
7104,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,13,3394,166,0.012672,,0.2,0.06336,0.06336
7104,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3394,156,0.012522,,0.2222,0.056355,0.056355
7104,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,3,3394,112,0.011862,,0.1,0.11862,0.11862
7117,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,7,3766,308,0.015918,,0.2143,0.074279,0.074279
7117,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,5,3766,253,0.015093,,0.1429,0.105619,0.105619
7117,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,6,3766,277,0.015453,,0.3333,0.046364,0.046364
7147,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,3319,44,0.010617,,0.5,0.021234,0.021234
7147,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3319,44,0.010617,,0.5,0.021234,0.021234
7147,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,3319,44,0.010617,,0.5,0.021234,0.021234
7153,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4014,65,0.013017,,0.5,0.026034,0.026034
7153,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,1,4014,65,0.013017,,0.5,0.026034,0.026034
7153,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4014,65,0.013017,,0.5,0.026034,0.026034
7166,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,4,3421,136,0.012303,,0.2857,0.043063,0.043063
7166,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,4,3421,207,0.013368,,0.2857,0.04679,0.04679
7166,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,5,3421,207,0.013368,,0.2857,0.04679,0.04679
7200,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4260,76,0.01392,,0.8,0.0174,0.0174
7200,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4260,76,0.01392,,0.8,0.0174,0.0174
7200,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,2,4260,76,0.01392,,0.8,0.0174,0.0174
7209,run-1,aws_bedrock,global.anthropic.claude-sonnet-4-6,4,3728,225,0.014559,,0.5,0.029118,0.029118
7209,run-2,aws_bedrock,global.anthropic.claude-sonnet-4-6,5,3728,221,0.014499,,0.5,0.028998,0.028998
7209,run-3,aws_bedrock,global.anthropic.claude-sonnet-4-6,4,3728,134,0.013194,,0.5,0.026388,0.026388
